Parameter,Estimation Model,Model Specification,Percent Mobility,Cluster Correlation,ICC,Population Parameter,Mean(Est),SD(EST),Mean(SE),MSE,Coverage,Mean(ESS)
fp_int,MMREM,L1 & L2,0,0.25,0.3,10,9.994549333508228,0.10101648230593434,0.10034151202878648,2.970976520452311e-5,0.947,357.56436329565264
fp_int,MMREM,L1 & L2,0.25,0,0.05,10,10.000748123393564,0.09733743890143454,0.09974327898026508,5.596886119970574e-7,0.961,385.34701216094413
fp_int,MMREM,L1 & L2,0.25,0,0.15,10,10.000753242861942,0.0973397433998832,0.09975767100559473,5.673748090660807e-7,0.961,385.08797343453597
fp_int,MMREM,L1 & L2,0.25,0,0.3,10,10.000753242861931,0.09733974339988467,0.09975767100559468,5.673748090500244e-7,0.961,385.08797343453256
fp_int,MMREM,L1 & L2,0.25,0.25,0.05,10,10.000013472909844,0.09778186221521429,0.10017472897177733,1.815192996583614e-10,0.955,386.1219569695539
fp_int,MMREM,L1 & L2,0.25,0.25,0.15,10,10.00001347290983,0.09778186221521645,0.10017472897177711,1.8151929927543827e-10,0.955,386.12195696955825
fp_int,MMREM,L1 & L2,0.25,0.25,0.3,10,10.000013472909819,0.09778186221521745,0.10017472897177764,1.8151929898824592e-10,0.955,386.12195696955393
fp_int,MMREM,L1 & L2,0.5,0,0.05,10,9.997506451307133,0.0952653281469188,0.10015527819478616,6.2177850836965e-6,0.963,402.913284777124
fp_int,MMREM,L1 & L2,0.5,0,0.15,10,9.997475328766175,0.095266778610081565,0.10015115232080957,6.373964838904254e-6,0.963,402.99780231607866
fp_int,MMREM,L1 & L2,0.5,0,0.3,10,9.997475328766164,0.09526677861007923,0.10015115232080941,6.373964838958071e-6,0.963,402.99780231608474
fp_int,MMREM,L1 & L2,0.5,0.25,0.05,10,9.996993669988504,0.09606257858371753,0.10064851612717399,9.038020138024043e-6,0.962,399.9511242839865
fp_int,MMREM,L1 & L2,0.5,0.25,0.15,10,9.996993669988486,0.09606257858371557,0.10064851612717365,9.03802013813085e-6,0.962,399.95112428397675
fp_int,MMREM,L1 & L2,0.5,0.25,0.3,10,9.996993669988473,0.09606257858371388,0.10064851612717374,9.038020138205614e-6,0.962,399.9511242839789
